account_circle
[I 2023-10-21 03:00:58,164] A new study created in memory with name: no-name-083f0af8-5817-4963-ab59-2951f545829a
[I 2023-10-21 03:01:31,933] Trial 0 finished with value: 0.8906804749442768 and parameters: {'n_estimators': 11000, 'max_depth': 6, 'min_child_weight': 8, 'learning_rate': 0.046932258671955655, 'subsample': 0.7519790389899815, 'colsample_bytree': 0.26055855776343934, 'reg_alpha': 8.137093282823788, 'reg_lambda': 6.581230755902668, 'gamma': 0.7999999999999999}. Best is trial 0 with value: 0.8906804749442768.
[I 2023-10-21 03:01:55,170] Trial 1 finished with value: 0.9031252421715718 and parameters: {'n_estimators': 11300, 'max_depth': 10, 'min_child_weight': 8, 'learning_rate': 0.07382953964017645, 'subsample': 0.9551408505313501, 'colsample_bytree': 0.6660443312289898, 'reg_alpha': 9.320660181936544, 'reg_lambda': 7.183871360044115, 'gamma': 0.7}. Best is trial 1 with value: 0.9031252421715718.
[I 2023-10-21 03:02:37,033] Trial 2 finished with value: 0.8573241809826526 and parameters: {'n_estimators': 9400, 'max_depth': 6, 'min_child_weight': 8, 'learning_rate': 0.00033078144157509316, 'subsample': 0.9726371477419606, 'colsample_bytree': 0.6424736093777168, 'reg_alpha': 0.23506138358762255, 'reg_lambda': 5.738842558917625, 'gamma': 0.8999999999999999}. Best is trial 1 with value: 0.9031252421715718.
[I 2023-10-21 03:04:17,988] Trial 3 finished with value: 0.8907026925548768 and parameters: {'n_estimators': 9900, 'max_depth': 9, 'min_child_weight': 8, 'learning_rate': 0.0005708479756980413, 'subsample': 0.7162253802091154, 'colsample_bytree': 0.9511287961337146, 'reg_alpha': 2.01928502338624, 'reg_lambda': 1.4858675600343303, 'gamma': 0.7999999999999999}. Best is trial 1 with value: 0.9031252421715718.
[I 2023-10-21 03:04:43,005] Trial 4 finished with value: 0.8938764258417377 and parameters: {'n_estimators': 10300, 'max_depth': 6, 'min_child_weight': 7, 'learning_rate': 0.07122741274924087, 'subsample': 0.7857781245509654, 'colsample_bytree': 0.44217008390359847, 'reg_alpha': 9.20652953343541, 'reg_lambda': 0.7017656517027656, 'gamma': 0.8999999999999999}. Best is trial 1 with value: 0.9031252421715718.
[I 2023-10-21 03:05:58,418] Trial 5 finished with value: 0.8623899228502013 and parameters: {'n_estimators': 7500, 'max_depth': 10, 'min_child_weight': 8, 'learning_rate': 0.0003347942628461109, 'subsample': 0.8860327064533672, 'colsample_bytree': 0.36188416729225914, 'reg_alpha': 5.815566671944742, 'reg_lambda': 0.9926875764176845, 'gamma': 0.7}. Best is trial 1 with value: 0.9031252421715718.
[I 2023-10-21 03:06:22,471] Trial 6 finished with value: 0.9035414855944837 and parameters: {'n_estimators': 7600, 'max_depth': 7, 'min_child_weight': 8, 'learning_rate': 0.020650679955308258, 'subsample': 0.9422467564072148, 'colsample_bytree': 0.9033074021300828, 'reg_alpha': 3.2325381750975044, 'reg_lambda': 9.355995691146608, 'gamma': 0.7}. Best is trial 6 with value: 0.9035414855944837.
[I 2023-10-21 03:06:46,894] Trial 7 finished with value: 0.8892339891354847 and parameters: {'n_estimators': 8100, 'max_depth': 7, 'min_child_weight': 8, 'learning_rate': 0.04241889089670383, 'subsample': 0.8618122708114964, 'colsample_bytree': 0.14844290974990162, 'reg_alpha': 0.3158980100137096, 'reg_lambda': 8.78031846512168, 'gamma': 0.7}. Best is trial 6 with value: 0.9035414855944837.
[I 2023-10-21 03:07:11,791] Trial 8 finished with value: 0.8893246326882834 and parameters: {'n_estimators': 11200, 'max_depth': 5, 'min_child_weight': 7, 'learning_rate': 0.008096646801687524, 'subsample': 0.9979601420346449, 'colsample_bytree': 0.39731222619985285, 'reg_alpha': 3.5798108708753333, 'reg_lambda': 9.889225382585053, 'gamma': 0.8999999999999999}. Best is trial 6 with value: 0.9035414855944837.
[I 2023-10-21 03:08:01,339] Trial 9 finished with value: 0.8988604434390984 and parameters: {'n_estimators': 8300, 'max_depth': 8, 'min_child_weight': 7, 'learning_rate': 0.0039257154083439496, 'subsample': 0.8795658865791156, 'colsample_bytree': 0.536621353987828, 'reg_alpha': 8.015219857013586, 'reg_lambda': 9.819854685096539, 'gamma': 0.7999999999999999}. Best is trial 6 with value: 0.9035414855944837.
[I 2023-10-21 03:08:22,843] Trial 10 finished with value: 0.8931310823827312 and parameters: {'n_estimators': 9000, 'max_depth': 4, 'min_child_weight': 7, 'learning_rate': 0.014217018704564294, 'subsample': 0.9277326946322422, 'colsample_bytree': 0.9611620854908296, 'reg_alpha': 5.029200242735889, 'reg_lambda': 4.034649601229716, 'gamma': 1.0}. Best is trial 6 with value: 0.9035414855944837.
[I 2023-10-21 03:08:44,474] Trial 11 finished with value: 0.9005852154708318 and parameters: {'n_estimators': 11400, 'max_depth': 8, 'min_child_weight': 8, 'learning_rate': 0.09512119645186874, 'subsample': 0.9469809109488178, 'colsample_bytree': 0.7569843929731203, 'reg_alpha': 9.711510588181344, 'reg_lambda': 7.7321343115435, 'gamma': 0.7}. Best is trial 6 with value: 0.9035414855944837.
[I 2023-10-21 03:09:23,586] Trial 12 finished with value: 0.9054128270766945 and parameters: {'n_estimators': 12000, 'max_depth': 10, 'min_child_weight': 8, 'learning_rate': 0.020897469249535807, 'subsample': 0.9179932323503339, 'colsample_bytree': 0.8055671643445595, 'reg_alpha': 6.252276540270291, 'reg_lambda': 7.636013690951972, 'gamma': 0.7}. Best is trial 12 with value: 0.9054128270766945.
[I 2023-10-21 03:10:00,471] Trial 13 finished with value: 0.9039473666838974 and parameters: {'n_estimators': 11800, 'max_depth': 8, 'min_child_weight': 8, 'learning_rate': 0.017761035960550862, 'subsample': 0.9116453402896783, 'colsample_bytree': 0.8213150672191465, 'reg_alpha': 6.0178712572584026, 'reg_lambda': 8.60203739634673, 'gamma': 0.7}. Best is trial 12 with value: 0.9054128270766945.
[I 2023-10-21 03:11:04,025] Trial 14 finished with value: 0.9044704879820881 and parameters: {'n_estimators': 12000, 'max_depth': 9, 'min_child_weight': 8, 'learning_rate': 0.005303439742717405, 'subsample': 0.9100903140318155, 'colsample_bytree': 0.8114325867400206, 'reg_alpha': 6.219803884806227, 'reg_lambda': 8.163536861036173, 'gamma': 0.7999999999999999}. Best is trial 12 with value: 0.9054128270766945.
[I 2023-10-21 03:12:43,323] Trial 15 finished with value: 0.9012354288704252 and parameters: {'n_estimators': 12000, 'max_depth': 9, 'min_child_weight': 8, 'learning_rate': 0.0018150435467544192, 'subsample': 0.830739573077742, 'colsample_bytree': 0.808681516545641, 'reg_alpha': 6.761670942416809, 'reg_lambda': 7.754139112857963, 'gamma': 0.7999999999999999}. Best is trial 12 with value: 0.9054128270766945.
[I 2023-10-21 03:13:46,183] Trial 16 finished with value: 0.904741405434542 and parameters: {'n_estimators': 10600, 'max_depth': 10, 'min_child_weight': 8, 'learning_rate': 0.004369368680412881, 'subsample': 0.900865283924458, 'colsample_bytree': 0.7404067167751901, 'reg_alpha': 6.283646996154402, 'reg_lambda': 5.29376812554105, 'gamma': 1.0}. Best is trial 12 with value: 0.9054128270766945.
[I 2023-10-21 03:15:20,192] Trial 17 finished with value: 0.9021179235701301 and parameters: {'n_estimators': 10500, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.0021814643341834636, 'subsample': 0.8270871820569083, 'colsample_bytree': 0.6886425745345502, 'reg_alpha': 7.215159086904083, 'reg_lambda': 4.626188045825827, 'gamma': 1.0}. Best is trial 12 with value: 0.9054128270766945.
[I 2023-10-21 03:17:09,744] Trial 18 finished with value: 0.8605943837564789 and parameters: {'n_estimators': 10400, 'max_depth': 10, 'min_child_weight': 8, 'learning_rate': 0.00012285157314183824, 'subsample': 0.8996664869404182, 'colsample_bytree': 0.5811072658548705, 'reg_alpha': 5.22647733049854, 'reg_lambda': 6.04310149169513, 'gamma': 1.0}. Best is trial 12 with value: 0.9054128270766945.
[I 2023-10-21 03:18:01,191] Trial 19 finished with value: 0.9049803877103155 and parameters: {'n_estimators': 10800, 'max_depth': 9, 'min_child_weight': 8, 'learning_rate': 0.009649715508558109, 'subsample': 0.8560694464613285, 'colsample_bytree': 0.7329200345617719, 'reg_alpha': 4.255075309572616, 'reg_lambda': 3.614466579451536, 'gamma': 0.8999999999999999}. Best is trial 12 with value: 0.9054128270766945.
[I 2023-10-21 03:18:51,662] Trial 20 finished with value: 0.9055947128948939 and parameters: {'n_estimators': 10900, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.011084878885398565, 'subsample': 0.8513337919842622, 'colsample_bytree': 0.9969698242834327, 'reg_alpha': 4.155690765009174, 'reg_lambda': 3.502113540698448, 'gamma': 0.8999999999999999}. Best is trial 20 with value: 0.9055947128948939.
[I 2023-10-21 03:19:47,205] Trial 21 finished with value: 0.9051461389914683 and parameters: {'n_estimators': 9800, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.009000878829245912, 'subsample': 0.832472462571018, 'colsample_bytree': 0.9902675653265104, 'reg_alpha': 4.241158469394033, 'reg_lambda': 3.432786233612427, 'gamma': 0.8999999999999999}. Best is trial 20 with value: 0.9055947128948939.
[I 2023-10-21 03:20:21,366] Trial 22 finished with value: 0.9046493188308562 and parameters: {'n_estimators': 9800, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.026297095382609315, 'subsample': 0.8303927836255758, 'colsample_bytree': 0.9946039347782469, 'reg_alpha': 4.2800611624103135, 'reg_lambda': 2.98210280536605, 'gamma': 0.8999999999999999}. Best is trial 20 with value: 0.9055947128948939.
[I 2023-10-21 03:21:13,246] Trial 23 finished with value: 0.9031846145046141 and parameters: {'n_estimators': 9100, 'max_depth': 8, 'min_child_weight': 7, 'learning_rate': 0.008744180110481269, 'subsample': 0.8037699332145731, 'colsample_bytree': 0.9107719720999401, 'reg_alpha': 5.081122562857893, 'reg_lambda': 2.766367796198118, 'gamma': 0.8999999999999999}. Best is trial 20 with value: 0.9055947128948939.
[I 2023-10-21 03:21:49,534] Trial 24 finished with value: 0.9059432902800637 and parameters: {'n_estimators': 11600, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.024205702649783938, 'subsample': 0.8692518451204478, 'colsample_bytree': 0.8757328132817136, 'reg_alpha': 2.5985172919063544, 'reg_lambda': 4.717996838621525, 'gamma': 0.8999999999999999}. Best is trial 24 with value: 0.9059432902800637.
[I 2023-10-21 03:22:22,529] Trial 25 finished with value: 0.9033367872909833 and parameters: {'n_estimators': 11500, 'max_depth': 7, 'min_child_weight': 7, 'learning_rate': 0.0315733878860836, 'subsample': 0.8654501047361648, 'colsample_bytree': 0.8741361430917819, 'reg_alpha': 2.777261944908477, 'reg_lambda': 4.851148460409114, 'gamma': 0.7999999999999999}. Best is trial 24 with value: 0.9059432902800637.
[I 2023-10-21 03:23:08,325] Trial 26 finished with value: 0.9071607339774376 and parameters: {'n_estimators': 11600, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.015803613663593587, 'subsample': 0.877509136180755, 'colsample_bytree': 0.8660747696913171, 'reg_alpha': 2.2861766152501612, 'reg_lambda': 6.015996563399034, 'gamma': 0.8999999999999999}. Best is trial 26 with value: 0.9071607339774376.
[I 2023-10-21 03:23:52,931] Trial 27 finished with value: 0.9060346898994174 and parameters: {'n_estimators': 11600, 'max_depth': 8, 'min_child_weight': 7, 'learning_rate': 0.013638297161063458, 'subsample': 0.866431387258507, 'colsample_bytree': 0.8821896498779238, 'reg_alpha': 1.7454509720900868, 'reg_lambda': 4.379861171637262, 'gamma': 0.8999999999999999}. Best is trial 26 with value: 0.9071607339774376.
[I 2023-10-21 03:24:20,920] Trial 28 finished with value: 0.9053495324085279 and parameters: {'n_estimators': 11700, 'max_depth': 8, 'min_child_weight': 7, 'learning_rate': 0.04117739781119517, 'subsample': 0.882470907720804, 'colsample_bytree': 0.8844758823942175, 'reg_alpha': 1.692327934196031, 'reg_lambda': 6.4597809546535725, 'gamma': 1.0}. Best is trial 26 with value: 0.9071607339774376.
